receptor,rho_resp,p_resp,p_resp_moran,rho_cv,p_cv,p_cv_moran,rho_var,p_var,p_var_moran,q_resp,q_resp_moran,q_cv,q_cv_moran,q_var,q_var_moran,name
DAT,0.3842362139763373,0.028971028971028972,0.06196901549225387,-0.03365439783998649,0.8121878121878122,0.7091454272863568,0.38206626291414314,0.023976023976023976,0.05997001499250375,0.4213786213786214,0.43994669332000663,0.8121878121878122,0.7091454272863568,0.4318181818181818,0.5443944694319507,DAT
MU,0.35310839442746517,0.1108891108891109,0.1774112943528236,-0.2872002325014531,0.000999000999000999,0.001999000499750125,0.2982290514315714,0.17682317682317683,0.2513743128435782,0.4213786213786214,0.5618024321172748,0.01898101898101898,0.018990504747626185,0.540959040959041,0.6823017062897122,$\mu$-opioid
D1,0.3266846042787767,0.07792207792207792,0.06946526736631684,-0.11939680873005457,0.27672327672327673,0.10594702648675662,0.31168769804811275,0.08091908091908091,0.08595702148925537,0.4213786213786214,0.43994669332000663,0.44289044289044294,0.20129935032483756,0.4318181818181818,0.5443944694319507,D$_1$
5HT1a,0.32235070219188866,0.21578421578421578,0.27786106946526734,-0.2200688129300808,0.058941058941058944,0.04047976011994003,0.28359814748842177,0.2597402597402597,0.34382808595702147,0.521978021978022,0.6393469931700816,0.18664668664668663,0.12818590704647675,0.540959040959041,0.7258592925759343,5-HT$_{1A}$
Vacht,0.26683498021862634,0.08691308691308691,0.29035482258870565,-0.2093199332495828,0.023976023976023976,0.0399800099950025,0.25401140007125045,0.09090909090909091,0.29735132433783107,0.4213786213786214,0.6393469931700816,0.11388611388611389,0.12818590704647675,0.4318181818181818,0.7062093953023488,VAChT (norm.)
5HTT,0.2622068887930549,0.2837162837162837,0.42128935532233885,-0.06587497421858886,0.6223776223776224,0.49825087456271866,0.2677912361952262,0.23276723276723277,0.4062968515742129,0.5808191808191807,0.8004497751124438,0.6906981906981907,0.5428119273696486,0.540959040959041,0.770841851801372,5-HTT
raw_H3_cban_hc8_gallezot,0.26095044344027146,0.21978021978021978,0.16841579210394803,-0.2454532840830255,0.014985014985014986,0.00399800099950025,0.22611853824086398,0.28471528471528473,0.2108945527236382,0.521978021978022,0.5618024321172748,0.11388611388611389,0.025320672996834912,0.540959040959041,0.6823017062897122,H$_3$
raw_NMDA_ge179_hc29_galovic,0.20499278120488254,0.0969030969030969,0.12643678160919541,-0.047186357414733836,0.5294705294705294,0.39580209895052476,0.20733110831942697,0.08091908091908091,0.12893553223388307,0.4213786213786214,0.5618024321172748,0.6702672327672328,0.5428119273696486,0.4318181818181818,0.6124437781109446,NMDA
5HT1b,-0.18675716723229518,0.30569430569430567,0.3028485757121439,-0.06883243020268875,0.5524475524475524,0.4362818590704648,-0.21495828098925615,0.22977022977022976,0.21689155422288856,0.5808191808191807,0.6393469931700816,0.6702672327672328,0.5428119273696486,0.540959040959041,0.6823017062897122,5-HT$_{1B}$
raw_M1_lsn_hc24_naganawa,-0.16968893555584721,0.2137862137862138,0.034482758620689655,-0.09934993343708397,0.27972027972027974,0.1294352823588206,-0.18472015450096563,0.14785214785214784,0.026986506746626688,0.521978021978022,0.43994669332000663,0.44289044289044294,0.21601699150424783,0.540959040959041,0.512743628185907,M$_1$
