sub_id,max_temporal_cv_GES
id_100206,7.159879833290958e-15
id_100307,6.71313644828714e-15
id_100408,7.587801200261028e-15
id_101006,5.73510703750169e-15
id_101107,7.563987382539352e-15
id_101309,8.53475625453507e-15
id_101915,8.144987533796737e-15
id_102008,6.095005970296322e-15
id_102109,6.6470739874880486e-15
id_102311,6.4531499691468654e-15
id_102513,6.3826349134534785e-15
id_102614,9.128672747446655e-15
id_102715,6.678989127063969e-15
id_102816,6.5217717160744956e-15
id_103010,7.411688422478816e-15
id_103111,6.731688955158633e-15
id_103212,5.925784082245423e-15
id_103414,1.1483762849751086e-14
id_103515,9.498490890998894e-15
id_103818,5.017477315859199e-15
id_104012,7.465493140946418e-15
id_104416,6.561020719989315e-15
id_104820,5.217071848448074e-15
id_105014,6.80710790957202e-15
id_105115,7.765139787657903e-15
id_105216,7.745071654882064e-15
id_105620,6.937413546613006e-15
id_105923,4.510175939776712e-15
id_106319,5.176613578121619e-15
id_106521,5.9482778101587126e-15
id_106824,5.816074812478916e-15
id_107018,4.987394374575226e-15
id_107321,5.176410149470928e-15
id_107422,7.006389215050427e-15
id_107725,7.727099068407986e-15
id_108020,3.886772330175991e-15
id_108222,6.420923942391819e-15
id_108323,9.239727973131056e-15
id_108525,6.607450662779714e-15
id_108828,6.796754028603467e-15
id_109123,6.100671260317465e-15
id_109325,6.083414852432973e-15
id_109830,8.388852995451975e-15
id_110007,7.097084991728641e-15
id_110411,5.519806664189147e-15
id_110613,6.949603568550725e-15
id_111009,9.218017402837116e-15
id_111211,7.59901568564391e-15
id_111312,6.924906426621075e-15
id_111413,5.272266672465067e-15
id_111514,6.772955556326479e-15
id_111716,5.077842748647485e-15
id_112112,8.490681306369565e-15
id_112314,8.342201451007742e-15
id_112516,6.2446685027514285e-15
id_112920,5.809939310391552e-15
id_113215,7.383960031457814e-15
id_113316,1.0047631629544948e-14
id_113619,6.512121077694435e-15
id_113922,5.0813811822367965e-15
id_114217,6.7725520662799075e-15
id_114318,6.387095841561463e-15
id_114419,8.975077153009608e-15
id_114621,7.657207739221107e-15
id_114823,5.734928381682258e-15
id_114924,7.672231085360775e-15
id_115017,8.13250704947604e-15
id_115219,5.116899143208434e-15
id_115320,7.493865320677691e-15
id_115724,6.8190153428174666e-15
id_115825,7.90677551236383e-15
id_116524,7.190409551001737e-15
id_116726,6.338170932594804e-15
id_117021,9.724227931114224e-15
id_117122,9.066084399019936e-15
id_117324,7.707338587223933e-15
id_117930,7.447752233583278e-15
id_118023,6.1035778525958116e-15
id_118124,7.0242872097292055e-15
id_118225,6.9222207895916664e-15
id_118528,9.298662075986414e-15
id_118730,1.0104348418623465e-14
id_118831,6.9754719833082895e-15
id_118932,7.384278778274992e-15
id_119126,8.996710256919412e-15
id_119732,8.236144719740756e-15
id_119833,6.367663007654989e-15
id_120111,1.0890680257426487e-14
id_120212,5.8901242406486515e-15
id_120414,6.682867303218068e-15
id_120515,7.414020399829067e-15
id_120717,6.506253371340659e-15
id_121416,7.597649495738101e-15
id_121618,7.353288141910395e-15
id_121921,4.933368127324578e-15
id_122620,6.470383671844915e-15
id_122822,9.907513191998808e-15
id_123117,6.249281665680853e-15
id_123420,8.186527541451758e-15
id_123521,6.872225222088364e-15
