task,sub,t1_ec,t1_fc,p_spin,best_seed_net
MOTOR,100206,0.7951043444021525,0.588162676016725,0.000999000999000999,SomMot
WM,100206,0.8586895543097143,0.729536122100763,0.000999000999000999,Cont
GAMBLING,100206,0.6498036862730391,0.3916475727973299,0.023976023976023976,Default
RELATIONAL,100206,0.7773676710479439,0.6267326045787784,0.000999000999000999,SalVentAttn
SOCIAL,100206,0.7573241707760673,0.5650499690623066,0.000999000999000999,Default
EMOTION,100206,0.7219931374571091,0.5509973187332421,0.000999000999000999,Default
LANGUAGE,100206,0.8073309208182551,0.65214763842274,0.000999000999000999,Default
MOTOR,100307,0.8209101306883166,0.6330973318583241,0.000999000999000999,DorsAttn
WM,100307,0.8145767161044756,0.6366892918080738,0.000999000999000999,Cont
GAMBLING,100307,0.7050771567322296,0.5461828511428196,0.000999000999000999,Cont
RELATIONAL,100307,0.747205107531922,0.4853486584291152,0.000999000999000999,Vis
SOCIAL,100307,0.761225132657079,0.5266812292576828,0.000999000999000999,Default
EMOTION,100307,0.7112485703035644,0.4888029925187032,0.000999000999000999,Vis
LANGUAGE,100307,0.8754045337783362,0.6599448746554666,0.000999000999000999,Default
MOTOR,100408,0.7800759379746123,0.6096608103800648,0.000999000999000999,SalVentAttn
WM,100408,0.8017690735567098,0.6221611385071157,0.000999000999000999,DorsAttn
GAMBLING,100408,0.6347130294564342,0.43590141188382425,0.000999000999000999,Default
RELATIONAL,100408,0.7532906455665348,0.6213282583016143,0.000999000999000999,Vis
SOCIAL,100408,0.7576918605741284,0.5432257701610634,0.000999000999000999,Default
EMOTION,100408,0.7698693116831979,0.5092055575347345,0.000999000999000999,Default
LANGUAGE,100408,0.8313959462246638,0.717722985768661,0.000999000999000999,Default
MOTOR,101006,0.8272007950049687,0.7539472746704667,0.000999000999000999,DorsAttn
WM,101006,0.7176635478971743,0.4626870792942456,0.004995004995004995,SomMot
GAMBLING,101006,0.6459077869236682,0.4680325502034387,0.052947052947052944,Default
RELATIONAL,101006,0.7557244107775672,0.5437593984962406,0.000999000999000999,Default
SOCIAL,101006,0.8535349595934975,0.7977700485628034,0.000999000999000999,Cont
EMOTION,101006,0.7097397483734272,0.5462377889861811,0.000999000999000999,Default
LANGUAGE,101006,0.8064541653385333,0.6732915830723941,0.000999000999000999,Default
MOTOR,101107,0.7024101400633753,0.5484101775636098,0.000999000999000999,Default
WM,101107,0.7150107813173832,0.5571512946955919,0.000999000999000999,Cont
GAMBLING,101107,0.7088489303058143,0.5766761667260419,0.000999000999000999,Default
