task,sub,t1_ec,t1_fc
MOTOR_HF,100206,0.76363283520522,0.5663041644010274
WM,100206,0.8586895543097143,0.729536122100763
RELATIONAL,100206,0.7773676710479439,0.6267326045787784
LANGUAGE,100206,0.8073309208182551,0.65214763842274
EMOTION,100206,0.7219931374571091,0.5509973187332421
SOCIAL,100206,0.7573241707760673,0.5650499690623066
GAMBLING,100206,0.6498036862730391,0.3916475727973299
MOTOR_HF,100307,0.7537824611403819,0.5412941330883317
WM,100307,0.8145767161044756,0.6366892918080738
RELATIONAL,100307,0.747205107531922,0.4853486584291152
LANGUAGE,100307,0.8754045337783362,0.6599448746554666
EMOTION,100307,0.7112485703035644,0.4888029925187032
SOCIAL,100307,0.761225132657079,0.5266812292576828
GAMBLING,100307,0.7050771567322296,0.5461828511428196
MOTOR_HF,100408,0.7873494834342714,0.6098993118706992
WM,100408,0.8017690735567098,0.6221611385071157
RELATIONAL,100408,0.7532906455665348,0.6213282583016143
LANGUAGE,100408,0.8313959462246638,0.717722985768661
EMOTION,100408,0.7698693116831979,0.5092055575347345
SOCIAL,100408,0.7576918605741284,0.5432257701610634
GAMBLING,100408,0.6347130294564342,0.43590141188382425
MOTOR_HF,101006,0.7806980668629178,0.5406361914761967
WM,101006,0.7176635478971743,0.4626870792942456
RELATIONAL,101006,0.7557244107775672,0.5437593984962406
LANGUAGE,101006,0.8064541653385333,0.6732915830723941
EMOTION,101006,0.7097397483734272,0.5462377889861811
SOCIAL,101006,0.8535349595934975,0.7977700485628034
GAMBLING,101006,0.6459077869236682,0.4680325502034387
MOTOR_HF,101107,0.6956128475802973,0.5016190726192038
WM,101107,0.7150107813173832,0.5571512946955919
RELATIONAL,101107,0.6765421033881461,0.4540715879474246
LANGUAGE,101107,0.7600251251570321,0.665828473927962
EMOTION,101107,0.7512963831023943,0.5788436802730016
SOCIAL,101107,0.7129336433352708,0.5558280989256182
GAMBLING,101107,0.7088489303058143,0.5766761667260419
MOTOR_HF,101309,0.8185290533065832,0.6595612472577953
WM,101309,0.7751647197794985,0.5178328614553841
RELATIONAL,101309,0.7019916374477341,0.5318240114000712
LANGUAGE,101309,0.8025837661485384,0.6958622241389009
EMOTION,101309,0.7821035756473478,0.5949196557478483
SOCIAL,101309,0.7486779292370577,0.5525693285583034
GAMBLING,101309,0.6536686479290496,0.4296473102956893
MOTOR_HF,101915,0.7179453621585135,0.5278364239776497
WM,101915,0.7897843736523353,0.60039843999025
RELATIONAL,101915,0.7107672547953423,0.45480959255995346
LANGUAGE,101915,0.7867316670729192,0.6871878574241088
EMOTION,101915,0.7085856786604916,0.4504946280914255
SOCIAL,101915,0.7836969606060037,0.5982328014550091
GAMBLING,101915,0.7980784879905499,0.6447158419740122
MOTOR_HF,102008,0.8124656404102524,0.7364873530459565
WM,102008,0.7531078319239495,0.4881377383608647
RELATIONAL,102008,0.8079149869686685,0.5869171057319108
LANGUAGE,102008,0.7809896311851949,0.640694504340652
EMOTION,102008,0.8014619466371664,0.7033236457727859
SOCIAL,102008,0.7475939849624058,0.6470273564209776
GAMBLING,102008,0.627131794573716,0.3174317964487278
MOTOR_HF,102109,0.7598974368589803,0.6122119513246956
WM,102109,0.7898972493578085,0.551644385277408
RELATIONAL,102109,0.6918080738004612,0.4366902293139332
LANGUAGE,102109,0.8445551534697091,0.7563902274389214
EMOTION,102109,0.7205773161082255,0.47915268220426366
SOCIAL,102109,0.7407858174113587,0.5271559822248889
GAMBLING,102109,0.7334520840755254,0.5402300639378996
MOTOR_HF,102311,0.7064423527647047,0.5221607635047718
WM,102311,0.7207275045469034,0.4887343670897943
RELATIONAL,102311,0.7090096188101175,0.46249151557197227
LANGUAGE,102311,0.8240155250970317,0.7355222845142783
EMOTION,102311,0.7498233738960868,0.5640155250970319
SOCIAL,102311,0.7689169932312078,0.6083526147038418
GAMBLING,102311,0.7170852942830892,0.44128157050981565
MOTOR_HF,102513,0.7855682223013892,0.6359537247107794
WM,102513,0.7988354302214389,0.676443477771736
RELATIONAL,102513,0.7587433671460446,0.5783979899874373
LANGUAGE,102513,0.7996118725742035,0.7289297433108958
EMOTION,102513,0.7258920368252301,0.5047062794142463
SOCIAL,102513,0.7769472934205838,0.6783424896405601
GAMBLING,102513,0.6982080513003205,0.5132135825848911
MOTOR_HF,102614,0.8490030562691016,0.7013025706410664
WM,102614,0.8109440684004275,0.6740020250126563
RELATIONAL,102614,0.7476500478127988,0.551110381939887
LANGUAGE,102614,0.862299139369621,0.8039596497478109
EMOTION,102614,0.8333545834661465,0.7410230063937898
SOCIAL,102614,0.84392271201695,0.7574539215870099
GAMBLING,102614,0.7288348677179232,0.5833146457165357
MOTOR_HF,102715,0.7818123863274145,0.5186889918061988
WM,102715,0.8648343427146419,0.788178613616335
RELATIONAL,102715,0.8088853055331594,0.6789507434421465
LANGUAGE,102715,0.8470378564866029,0.779321058256614
EMOTION,102715,0.8472647329045805,0.7099941874636716
SOCIAL,102715,0.7991656197851236,0.6264059775373595
GAMBLING,102715,0.7287518046987793,0.5943496521853261
MOTOR_HF,102816,0.7126343914649466,0.5018395739973374
WM,102816,0.8333678960493502,0.7402283764273526
RELATIONAL,102816,0.7282549265932912,0.5297104981906137
LANGUAGE,102816,0.8384859280370501,0.7339720248251551
EMOTION,102816,0.6984116775729847,0.5555048469052931
SOCIAL,102816,0.7195289970562314,0.49145350908443175
GAMBLING,102816,0.7204040650254064,0.5997886861792886
MOTOR_HF,103010,0.7051026568916056,0.43400221251382815
WM,103010,0.796365477284233,0.6966126038287739
LANGUAGE,103010,0.8606691916824479,0.8020593253707836
GAMBLING,103010,0.6600825005156282,0.4752753454709091
MOTOR_HF,103111,0.7408960681004255,0.5785316783229895
WM,103111,0.80933362083513,0.6693129957062233
RELATIONAL,103111,0.7710200063750396,0.6152235951474696
LANGUAGE,103111,0.80046819042619,0.6528205801286258
EMOTION,103111,0.7845343408396303,0.5535345845911537
SOCIAL,103111,0.7570832317701985,0.5923797648735304
GAMBLING,103111,0.7191084319276994,0.5649963437271482
MOTOR_HF,103212,0.7207586297414359,0.5075388596178725
WM,103212,0.8272150450940318,0.6637042731517071
RELATIONAL,103212,0.7641503384396152,0.5638126488290551
LANGUAGE,103212,0.864469277932987,0.756250726567041
EMOTION,103212,0.7788221176382352,0.497160482253014
